Cache Configuration: 12 MB, 2 skews, 14 ways (7 ways/skew)
AVG-BALLS-PER-BUCKET:7, BUCKET-SPILL-THRESHOLD:13 
Simulation Parameters - BALL_THROWS:1000000000, SEED:42

Starting throws --  (Dot printed every 100M Ball throws) 
.......... 1Bn


Bucket-Occupancy Snapshot at End of Experiment

Occupancy: 		 Count
Bucket[ 0 Fill]: 	 1 	 (0.00)
Bucket[ 1 Fill]: 	 12 	 (0.04)
Bucket[ 2 Fill]: 	 58 	 (0.18)
Bucket[ 3 Fill]: 	 284 	 (0.87)
Bucket[ 4 Fill]: 	 1094 	 (3.34)
Bucket[ 5 Fill]: 	 2886 	 (8.81)
Bucket[ 6 Fill]: 	 6145 	 (18.75)
Bucket[ 7 Fill]: 	 9607 	 (29.32)
Bucket[ 8 Fill]: 	 8948 	 (27.31)
Bucket[ 9 Fill]: 	 3443 	 (10.51)
Bucket[10 Fill]: 	 290 	 (0.89)
Bucket[11 Fill]: 	 0 	 (0.00)
Bucket[12 Fill]: 	 0 	 (0.00)
Bucket[13 Fill]: 	 0 	 (0.00)
Bucket[14 Fill]: 	 0 	 (0.00)
Bucket[15 Fill]: 	 0 	 (0.00)
Bucket[16 Fill]: 	 0 	 (0.00)
Bucket[17 Fill]: 	 0 	 (0.00)
Bucket[18 Fill]: 	 0 	 (0.00)
Bucket[19 Fill]: 	 0 	 (0.00)
Bucket[20 Fill]: 	 0 	 (0.00)
Bucket[21 Fill]: 	 0 	 (0.00)
Bucket[22 Fill]: 	 0 	 (0.00)
Bucket[23 Fill]: 	 0 	 (0.00)
Bucket[24 Fill]: 	 0 	 (0.00)
Bucket[25 Fill]: 	 0 	 (0.00)
Bucket[26 Fill]: 	 0 	 (0.00)
Bucket[27 Fill]: 	 0 	 (0.00)
Bucket[28 Fill]: 	 0 	 (0.00)
Bucket[29 Fill]: 	 0 	 (0.00)
Bucket[30 Fill]: 	 0 	 (0.00)
Bucket[31 Fill]: 	 0 	 (0.00)
Bucket[32 Fill]: 	 0 	 (0.00)
Bucket[33 Fill]: 	 0 	 (0.00)
Bucket[34 Fill]: 	 0 	 (0.00)
Bucket[35 Fill]: 	 0 	 (0.00)
Bucket[36 Fill]: 	 0 	 (0.00)
Bucket[37 Fill]: 	 0 	 (0.00)
Bucket[38 Fill]: 	 0 	 (0.00)
Bucket[39 Fill]: 	 0 	 (0.00)
Bucket[40 Fill]: 	 0 	 (0.00)


Distribution of Bucket-Occupancy (Averaged across Ball Throws) => Used for P(Bucket = k balls) calculation 

Occupancy: 		            Count 	 P(Bucket=k balls)
Bucket[ 0 Fill]: 	            90076 	 (0.002)
Bucket[ 1 Fill]: 	          1181312 	 (0.030)
Bucket[ 2 Fill]: 	          8087083 	 (0.202)
Bucket[ 3 Fill]: 	         37507779 	 (0.938)
Bucket[ 4 Fill]: 	        130271999 	 (3.257)
Bucket[ 5 Fill]: 	        354431716 	 (8.861)
Bucket[ 6 Fill]: 	        753762843 	 (18.844)
Bucket[ 7 Fill]: 	       1165242183 	 (29.131)
Bucket[ 8 Fill]: 	       1087034860 	 (27.176)
Bucket[ 9 Fill]: 	        425319212 	 (10.633)
Bucket[10 Fill]: 	         37240937 	 (0.931)
Bucket[11 Fill]: 	           223211 	 (0.006)
Bucket[12 Fill]: 	                5 	 (0.000)
Bucket[13 Fill]: 	                0 	 (0.000)
