Cache Configuration: 12 MB, 2 skews, 36 ways (18 ways/skew)
AVG-BALLS-PER-BUCKET:18, BUCKET-SPILL-THRESHOLD:24 
Simulation Parameters - BALL_THROWS:10000000000, SEED:42

Starting throws --  (Dot printed every 100M Ball throws) 
.......... 1Bn
.......... 2Bn
.......... 3Bn
.......... 4Bn
.......... 5Bn
.......... 6Bn
.......... 7Bn
.......... 8Bn
.......... 9Bn
.......... 10Bn


Bucket-Occupancy Snapshot at End of Experiment

Occupancy: 		 Count
Bucket[ 0 Fill]: 	 0 	 (0.00)
Bucket[ 1 Fill]: 	 0 	 (0.00)
Bucket[ 2 Fill]: 	 0 	 (0.00)
Bucket[ 3 Fill]: 	 0 	 (0.00)
Bucket[ 4 Fill]: 	 0 	 (0.00)
Bucket[ 5 Fill]: 	 0 	 (0.00)
Bucket[ 6 Fill]: 	 0 	 (0.00)
Bucket[ 7 Fill]: 	 1 	 (0.01)
Bucket[ 8 Fill]: 	 1 	 (0.01)
Bucket[ 9 Fill]: 	 1 	 (0.01)
Bucket[10 Fill]: 	 4 	 (0.02)
Bucket[11 Fill]: 	 16 	 (0.10)
Bucket[12 Fill]: 	 51 	 (0.31)
Bucket[13 Fill]: 	 102 	 (0.62)
Bucket[14 Fill]: 	 285 	 (1.74)
Bucket[15 Fill]: 	 696 	 (4.25)
Bucket[16 Fill]: 	 1403 	 (8.56)
Bucket[17 Fill]: 	 2779 	 (16.96)
Bucket[18 Fill]: 	 4185 	 (25.54)
Bucket[19 Fill]: 	 4247 	 (25.92)
Bucket[20 Fill]: 	 2290 	 (13.98)
Bucket[21 Fill]: 	 316 	 (1.93)
Bucket[22 Fill]: 	 7 	 (0.04)
Bucket[23 Fill]: 	 0 	 (0.00)
Bucket[24 Fill]: 	 0 	 (0.00)
Bucket[25 Fill]: 	 0 	 (0.00)
Bucket[26 Fill]: 	 0 	 (0.00)
Bucket[27 Fill]: 	 0 	 (0.00)
Bucket[28 Fill]: 	 0 	 (0.00)
Bucket[29 Fill]: 	 0 	 (0.00)
Bucket[30 Fill]: 	 0 	 (0.00)
Bucket[31 Fill]: 	 0 	 (0.00)
Bucket[32 Fill]: 	 0 	 (0.00)


Distribution of Bucket-Occupancy (Averaged across Ball Throws) => Used for P(Bucket = k balls) calculation 

Occupancy: 		            Count 	 P(Bucket=k balls)
Bucket[ 0 Fill]: 	                0 	 (0.000)
Bucket[ 1 Fill]: 	                1 	 (0.000)
Bucket[ 2 Fill]: 	               21 	 (0.000)
Bucket[ 3 Fill]: 	              241 	 (0.000)
Bucket[ 4 Fill]: 	             1596 	 (0.000)
Bucket[ 5 Fill]: 	             9754 	 (0.000)
Bucket[ 6 Fill]: 	            46173 	 (0.000)
Bucket[ 7 Fill]: 	           185994 	 (0.000)
Bucket[ 8 Fill]: 	           743993 	 (0.002)
Bucket[ 9 Fill]: 	          2876595 	 (0.007)
Bucket[10 Fill]: 	         10267711 	 (0.026)
Bucket[11 Fill]: 	         33546231 	 (0.084)
Bucket[12 Fill]: 	        100487952 	 (0.251)
Bucket[13 Fill]: 	        277571161 	 (0.694)
Bucket[14 Fill]: 	        708614880 	 (1.772)
Bucket[15 Fill]: 	       1667490808 	 (4.169)
Bucket[16 Fill]: 	       3567403071 	 (8.919)
Bucket[17 Fill]: 	       6688629999 	 (16.722)
Bucket[18 Fill]: 	      10128903004 	 (25.322)
Bucket[19 Fill]: 	      10496682449 	 (26.242)
Bucket[20 Fill]: 	       5462656407 	 (13.657)
Bucket[21 Fill]: 	        839328908 	 (2.098)
Bucket[22 Fill]: 	         14941896 	 (0.037)
Bucket[23 Fill]: 	             4371 	 (0.000)
Bucket[24 Fill]: 	                0 	 (0.000)
Bucket[25 Fill]: 	                0 	 (0.000)
Bucket[26 Fill]: 	                0 	 (0.000)
Bucket[27 Fill]: 	                0 	 (0.000)
Bucket[28 Fill]: 	                0 	 (0.000)
Bucket[29 Fill]: 	                0 	 (0.000)
Bucket[30 Fill]: 	                0 	 (0.000)
Bucket[31 Fill]: 	                0 	 (0.000)
Bucket[32 Fill]: 	                0 	 (0.000)


Distribution of Balls-in-Dest-Bucket on Ball-Insertion (Best-Of-2 Indexed-Buckets) => Spill-Count = Spills from Bucket-With-24-Balls

Balls-in-Dest-Bucket (k) 		 Spills from Bucket-With-k-Balls)
 0:				                0	 (0.000)
 1:				                0	 (0.000)
 2:				                6	 (0.000)
 3:				               67	 (0.000)
 4:				              666	 (0.000)
 5:				             5181	 (0.000)
 6:				            30790	 (0.000)
 7:				           157547	 (0.001)
 8:				           711459	 (0.004)
 9:				          2843439	 (0.014)
10:				         10232795	 (0.051)
11:				         33487292	 (0.167)
12:				        100210137	 (0.501)
13:				        275550124	 (1.378)
14:				        694769033	 (3.474)
15:				       1585420088	 (7.927)
16:				       3158448923	 (15.792)
17:				       5064457447	 (25.322)
18:				       5540008883	 (27.700)
19:				       3034859059	 (15.174)
20:				        489673565	 (2.448)
21:				          9130680	 (0.046)
22:				             2819	 (0.000)
23:				                0	 (0.000)
24:				                0	 (0.000)
25:				                0	 (0.000)
26:				                0	 (0.000)
27:				                0	 (0.000)
28:				                0	 (0.000)
29:				                0	 (0.000)
30:				                0	 (0.000)
31:				                0	 (0.000)



Spill Count: 0 (0.000)

Cuckoo Spill Count: 0 (0.000)
