Cache Configuration: 12 MB, 2 skews, 18 ways (9 ways/skew)
AVG-BALLS-PER-BUCKET:9, BUCKET-SPILL-THRESHOLD:11 
Simulation Parameters - BALL_THROWS:1000000000, SEED:1

Starting throws --  (Dot printed every 100M Ball throws) 
.......... 1Bn


Bucket-Occupancy Snapshot at End of Experiment

Occupancy: 		 Count
Bucket[ 0 Fill]: 	 0 	 (0.00)
Bucket[ 1 Fill]: 	 0 	 (0.00)
Bucket[ 2 Fill]: 	 6 	 (0.02)
Bucket[ 3 Fill]: 	 22 	 (0.07)
Bucket[ 4 Fill]: 	 100 	 (0.31)
Bucket[ 5 Fill]: 	 387 	 (1.18)
Bucket[ 6 Fill]: 	 1182 	 (3.61)
Bucket[ 7 Fill]: 	 2810 	 (8.58)
Bucket[ 8 Fill]: 	 5813 	 (17.74)
Bucket[ 9 Fill]: 	 9287 	 (28.34)
Bucket[10 Fill]: 	 9121 	 (27.84)
Bucket[11 Fill]: 	 4040 	 (12.33)
Bucket[12 Fill]: 	 0 	 (0.00)
Bucket[13 Fill]: 	 0 	 (0.00)
Bucket[14 Fill]: 	 0 	 (0.00)
Bucket[15 Fill]: 	 0 	 (0.00)
Bucket[16 Fill]: 	 0 	 (0.00)
Bucket[17 Fill]: 	 0 	 (0.00)
Bucket[18 Fill]: 	 0 	 (0.00)
Bucket[19 Fill]: 	 0 	 (0.00)
Bucket[20 Fill]: 	 0 	 (0.00)
Bucket[21 Fill]: 	 0 	 (0.00)
Bucket[22 Fill]: 	 0 	 (0.00)
Bucket[23 Fill]: 	 0 	 (0.00)
Bucket[24 Fill]: 	 0 	 (0.00)
Bucket[25 Fill]: 	 0 	 (0.00)
Bucket[26 Fill]: 	 0 	 (0.00)
Bucket[27 Fill]: 	 0 	 (0.00)
Bucket[28 Fill]: 	 0 	 (0.00)
Bucket[29 Fill]: 	 0 	 (0.00)
Bucket[30 Fill]: 	 0 	 (0.00)
Bucket[31 Fill]: 	 0 	 (0.00)
Bucket[32 Fill]: 	 0 	 (0.00)
Bucket[33 Fill]: 	 0 	 (0.00)
Bucket[34 Fill]: 	 0 	 (0.00)
Bucket[35 Fill]: 	 0 	 (0.00)
Bucket[36 Fill]: 	 0 	 (0.00)
Bucket[37 Fill]: 	 0 	 (0.00)
Bucket[38 Fill]: 	 0 	 (0.00)
Bucket[39 Fill]: 	 0 	 (0.00)
Bucket[40 Fill]: 	 0 	 (0.00)


Distribution of Bucket-Occupancy (Averaged across Ball Throws) => Used for P(Bucket = k balls) calculation 

Occupancy: 		            Count 	 P(Bucket=k balls)
Bucket[ 0 Fill]: 	             2938 	 (0.000)
Bucket[ 1 Fill]: 	            53194 	 (0.001)
Bucket[ 2 Fill]: 	           474966 	 (0.012)
Bucket[ 3 Fill]: 	          2850146 	 (0.071)
Bucket[ 4 Fill]: 	         12867359 	 (0.322)
Bucket[ 5 Fill]: 	         46484338 	 (1.162)
Bucket[ 6 Fill]: 	        139171912 	 (3.479)
Bucket[ 7 Fill]: 	        349043971 	 (8.726)
Bucket[ 8 Fill]: 	        718285484 	 (17.957)
Bucket[ 9 Fill]: 	       1122488326 	 (28.062)
Bucket[10 Fill]: 	       1113602660 	 (27.840)
Bucket[11 Fill]: 	        495067922 	 (12.377)
Bucket[12 Fill]: 	                0 	 (0.000)
Bucket[13 Fill]: 	                0 	 (0.000)
Bucket[14 Fill]: 	                0 	 (0.000)
Bucket[15 Fill]: 	                0 	 (0.000)
Bucket[16 Fill]: 	                0 	 (0.000)
Bucket[17 Fill]: 	                0 	 (0.000)
Bucket[18 Fill]: 	                0 	 (0.000)
Bucket[19 Fill]: 	                0 	 (0.000)
Bucket[20 Fill]: 	                0 	 (0.000)
Bucket[21 Fill]: 	                0 	 (0.000)
Bucket[22 Fill]: 	                0 	 (0.000)
Bucket[23 Fill]: 	                0 	 (0.000)
Bucket[24 Fill]: 	                0 	 (0.000)
Bucket[25 Fill]: 	                0 	 (0.000)
Bucket[26 Fill]: 	                0 	 (0.000)
Bucket[27 Fill]: 	                0 	 (0.000)
Bucket[28 Fill]: 	                0 	 (0.000)
Bucket[29 Fill]: 	                0 	 (0.000)
Bucket[30 Fill]: 	                0 	 (0.000)
Bucket[31 Fill]: 	                0 	 (0.000)
Bucket[32 Fill]: 	                0 	 (0.000)
Bucket[33 Fill]: 	                0 	 (0.000)
Bucket[34 Fill]: 	                0 	 (0.000)
Bucket[35 Fill]: 	                0 	 (0.000)
Bucket[36 Fill]: 	                0 	 (0.000)
Bucket[37 Fill]: 	                0 	 (0.000)
Bucket[38 Fill]: 	                0 	 (0.000)
Bucket[39 Fill]: 	                0 	 (0.000)
Bucket[40 Fill]: 	                0 	 (0.000)


Distribution of Balls-in-Dest-Bucket on Ball-Insertion (Best-Of-2 Indexed-Buckets) => Spill-Count = Spills from Bucket-With-11-Balls

Balls-in-Dest-Bucket (k) 		 Spills from Bucket-With-k-Balls)
 0:				             2787	 (0.000)
 1:				            51475	 (0.003)
 2:				           465895	 (0.023)
 3:				          2817775	 (0.141)
 4:				         12778505	 (0.639)
 5:				         45963123	 (2.298)
 6:				        134514728	 (6.726)
 7:				        316168036	 (15.808)
 8:				        554896132	 (27.745)
 9:				        608868979	 (30.443)
10:				        292829701	 (14.641)
11:				         30642864	 (1.532)
12:				                0	 (0.000)
13:				                0	 (0.000)
14:				                0	 (0.000)
15:				                0	 (0.000)
16:				                0	 (0.000)
17:				                0	 (0.000)
18:				                0	 (0.000)
19:				                0	 (0.000)
20:				                0	 (0.000)
21:				                0	 (0.000)
22:				                0	 (0.000)
23:				                0	 (0.000)
24:				                0	 (0.000)
