Cache Configuration: 12 MB, 2 skews, 18 ways (9 ways/skew)
AVG-BALLS-PER-BUCKET:9, BUCKET-SPILL-THRESHOLD:10 
Simulation Parameters - BALL_THROWS:1000000000, SEED:1

Starting throws --  (Dot printed every 100M Ball throws) 
.......... 1Bn


Bucket-Occupancy Snapshot at End of Experiment

Occupancy: 		 Count
Bucket[ 0 Fill]: 	 0 	 (0.00)
Bucket[ 1 Fill]: 	 0 	 (0.00)
Bucket[ 2 Fill]: 	 4 	 (0.01)
Bucket[ 3 Fill]: 	 11 	 (0.03)
Bucket[ 4 Fill]: 	 58 	 (0.18)
Bucket[ 5 Fill]: 	 234 	 (0.71)
Bucket[ 6 Fill]: 	 782 	 (2.39)
Bucket[ 7 Fill]: 	 2234 	 (6.82)
Bucket[ 8 Fill]: 	 5469 	 (16.69)
Bucket[ 9 Fill]: 	 10373 	 (31.66)
Bucket[10 Fill]: 	 13603 	 (41.51)
Bucket[11 Fill]: 	 0 	 (0.00)
Bucket[12 Fill]: 	 0 	 (0.00)
Bucket[13 Fill]: 	 0 	 (0.00)
Bucket[14 Fill]: 	 0 	 (0.00)
Bucket[15 Fill]: 	 0 	 (0.00)
Bucket[16 Fill]: 	 0 	 (0.00)
Bucket[17 Fill]: 	 0 	 (0.00)
Bucket[18 Fill]: 	 0 	 (0.00)
Bucket[19 Fill]: 	 0 	 (0.00)
Bucket[20 Fill]: 	 0 	 (0.00)
Bucket[21 Fill]: 	 0 	 (0.00)
Bucket[22 Fill]: 	 0 	 (0.00)
Bucket[23 Fill]: 	 0 	 (0.00)
Bucket[24 Fill]: 	 0 	 (0.00)
Bucket[25 Fill]: 	 0 	 (0.00)
Bucket[26 Fill]: 	 0 	 (0.00)
Bucket[27 Fill]: 	 0 	 (0.00)
Bucket[28 Fill]: 	 0 	 (0.00)
Bucket[29 Fill]: 	 0 	 (0.00)
Bucket[30 Fill]: 	 0 	 (0.00)
Bucket[31 Fill]: 	 0 	 (0.00)
Bucket[32 Fill]: 	 0 	 (0.00)
Bucket[33 Fill]: 	 0 	 (0.00)
Bucket[34 Fill]: 	 0 	 (0.00)
Bucket[35 Fill]: 	 0 	 (0.00)
Bucket[36 Fill]: 	 0 	 (0.00)
Bucket[37 Fill]: 	 0 	 (0.00)
Bucket[38 Fill]: 	 0 	 (0.00)
Bucket[39 Fill]: 	 0 	 (0.00)
Bucket[40 Fill]: 	 0 	 (0.00)


Distribution of Bucket-Occupancy (Averaged across Ball Throws) => Used for P(Bucket = k balls) calculation 

Occupancy: 		            Count 	 P(Bucket=k balls)
Bucket[ 0 Fill]: 	              975 	 (0.000)
Bucket[ 1 Fill]: 	            19969 	 (0.000)
Bucket[ 2 Fill]: 	           198639 	 (0.005)
Bucket[ 3 Fill]: 	          1335541 	 (0.033)
Bucket[ 4 Fill]: 	          6788947 	 (0.170)
Bucket[ 5 Fill]: 	         27796619 	 (0.695)
Bucket[ 6 Fill]: 	         94893800 	 (2.372)
Bucket[ 7 Fill]: 	        274200008 	 (6.855)
Bucket[ 8 Fill]: 	        665229660 	 (16.631)
Bucket[ 9 Fill]: 	       1278263062 	 (31.957)
Bucket[10 Fill]: 	       1651665996 	 (41.292)
Bucket[11 Fill]: 	                0 	 (0.000)
Bucket[12 Fill]: 	                0 	 (0.000)
Bucket[13 Fill]: 	                0 	 (0.000)
Bucket[14 Fill]: 	                0 	 (0.000)
Bucket[15 Fill]: 	                0 	 (0.000)
Bucket[16 Fill]: 	                0 	 (0.000)
Bucket[17 Fill]: 	                0 	 (0.000)
Bucket[18 Fill]: 	                0 	 (0.000)
Bucket[19 Fill]: 	                0 	 (0.000)
Bucket[20 Fill]: 	                0 	 (0.000)
Bucket[21 Fill]: 	                0 	 (0.000)
Bucket[22 Fill]: 	                0 	 (0.000)
Bucket[23 Fill]: 	                0 	 (0.000)
Bucket[24 Fill]: 	                0 	 (0.000)
Bucket[25 Fill]: 	                0 	 (0.000)
Bucket[26 Fill]: 	                0 	 (0.000)
Bucket[27 Fill]: 	                0 	 (0.000)
Bucket[28 Fill]: 	                0 	 (0.000)
Bucket[29 Fill]: 	                0 	 (0.000)
Bucket[30 Fill]: 	                0 	 (0.000)
Bucket[31 Fill]: 	                0 	 (0.000)
Bucket[32 Fill]: 	                0 	 (0.000)
Bucket[33 Fill]: 	                0 	 (0.000)
Bucket[34 Fill]: 	                0 	 (0.000)
Bucket[35 Fill]: 	                0 	 (0.000)
Bucket[36 Fill]: 	                0 	 (0.000)
Bucket[37 Fill]: 	                0 	 (0.000)
Bucket[38 Fill]: 	                0 	 (0.000)
Bucket[39 Fill]: 	                0 	 (0.000)
Bucket[40 Fill]: 	                0 	 (0.000)


Distribution of Balls-in-Dest-Bucket on Ball-Insertion (Best-Of-2 Indexed-Buckets) => Spill-Count = Spills from Bucket-With-10-Balls

Balls-in-Dest-Bucket (k) 		 Spills from Bucket-With-k-Balls)
 0:				              824	 (0.000)
 1:				            18249	 (0.001)
 2:				           189584	 (0.009)
 3:				          1304204	 (0.065)
 4:				          6723246	 (0.336)
 5:				         27578755	 (1.379)
 6:				         92851896	 (4.643)
 7:				        255779990	 (12.789)
 8:				        542535684	 (27.127)
 9:				        732020684	 (36.601)
10:				        340996884	 (17.050)
11:				                0	 (0.000)
12:				                0	 (0.000)
13:				                0	 (0.000)
14:				                0	 (0.000)
15:				                0	 (0.000)
16:				                0	 (0.000)
17:				                0	 (0.000)
18:				                0	 (0.000)
19:				                0	 (0.000)
20:				                0	 (0.000)
21:				                0	 (0.000)
22:				                0	 (0.000)
23:				                0	 (0.000)
24:				                0	 (0.000)
25:				                0	 (0.000)
